Ordem_Sorteio,Marca,Modelo,Ano,Cor,Nota_Confianca_Marca,Nota_Confianca_Modelo,Nota_Aparencia,Perfil_Rodagem,Quilometragem_Estimada,Dias_para_Venda
2280,Chevrolet,Onix,2024,Prata,4.3,4.2,4.65,Alto,23411,35
2281,Toyota,Corolla,2016,Preto,5.0,5.0,4.73,Normal,112281,18
2282,Hyundai,HB20,2016,Prata,4.5,4.5,4.69,Normal,113971,5
2283,Chevrolet,Onix,2024,Prata,4.3,4.2,4.96,Pouco Rodado,11103,12
2284,Ford,Fiesta,2018,Preto,2.8,2.0,4.99,Alto,143210,41
2285,Volkswagen,Nivus,2020,Marrom,4.0,3.0,4.48,Pouco Rodado,44550,30
2286,Chevrolet,Onix,2022,Preto,4.3,4.2,4.84,Normal,44634,5
2287,Jeep,Renegade,2022,Vermelho,2.5,2.4,4.79,Normal,39754,32
2288,Toyota,Hilux,2022,Branco,5.0,4.9,4.38,Normal,42004,6
2289,Jeep,Compass,2025,Preto,2.5,2.3,4.59,Normal,6811,30
2290,Jeep,Renegade,2024,Cinza,2.5,2.4,4.76,Alto,32118,41
2291,Fiat,Uno,2010,Prata,3.6,4.3,3.78,Alto,282831,25
2292,Toyota,Corolla,2020,Branco,5.0,5.0,4.72,Pouco Rodado,46126,12
2293,Chevrolet,Onix,2024,Branco,4.3,4.2,4.85,Super Alto,35144,45
2294,Chevrolet,Onix,2022,Cinza,4.3,4.2,4.86,Pouco Rodado,30308,24
2295,Volkswagen,Fox,2013,Azul,4.0,4.1,3.84,Normal,147758,20
2296,Fiat,Mobi,2024,Branco,3.6,3.5,4.65,Normal,15397,26
2297,Chevrolet,Tracker,2017,Cinza,4.3,3.0,4.45,Normal,103779,19
2298,Fiat,Mobi,2022,Prata,3.6,3.5,4.81,Pouco Rodado,30428,5
2299,Chevrolet,Celta,2013,Branco,4.3,4.2,4.93,Super Alto,301747,37
2300,Toyota,Corolla,2020,Branco,5.0,5.0,4.93,Normal,61972,6
2301,Ford,Fiesta,2015,Preto,2.8,2.0,4.54,Pouco Rodado,82268,12
2302,Fiat,Strada,2010,Prata,3.6,4.4,4.94,Pouco Rodado,126283,9
2303,Fiat,Mobi,2025,Preto,3.6,3.5,4.82,Alto,3366,35
2304,Jeep,Compass,2021,Marrom,2.5,2.3,4.78,Alto,84104,42
2305,Fiat,Uno,2014,Cinza,3.6,4.3,4.59,Alto,213007,39
2306,Fiat,Argo,2022,Vermelho,3.6,3.4,4.79,Pouco Rodado,28111,24
2307,Fiat,Uno,2010,Preto,3.6,4.3,4.72,Normal,180968,20
2308,Honda,Civic,2014,Prata,4.8,4.8,4.07,Normal,138524,26
2309,Hyundai,HB20,2014,Preto,4.5,4.5,3.63,Alto,215386,29
2310,Volkswagen,Polo,2023,Prata,4.0,2.8,5.0,Pouco Rodado,22970,5
2311,Volkswagen,Gol,2012,Branco,4.0,4.4,4.67,Pouco Rodado,105992,15
2312,Ford,Ka,2020,Cinza,2.8,3.8,4.57,Normal,71747,24
2313,Hyundai,HB20,2013,Prata,4.5,4.5,3.93,Pouco Rodado,103169,5
2314,Chevrolet,Onix,2013,Preto,4.3,4.2,4.78,Super Alto,315034,44
2315,Volkswagen,Fox,2019,Verde,4.0,4.1,4.66,Pouco Rodado,51112,9
2316,Toyota,Corolla,2019,Prata,5.0,5.0,4.79,Pouco Rodado,48507,5
2317,Chevrolet,Onix,2017,Branco,4.3,4.2,4.46,Normal,107668,8
2318,Ford,Ka,2017,Branco,2.8,3.8,4.78,Alto,160722,38
2319,Fiat,Strada,2011,Branco,3.6,4.4,4.2,Alto,258893,42
2320,Chevrolet,Celta,2012,Branco,4.3,4.2,4.57,Normal,158658,8
2321,Hyundai,HB20,2025,Verde,4.5,4.5,4.95,Super Alto,1507,30
2322,Volkswagen,Gol,2017,Preto,4.0,4.4,4.04,Normal,107040,20
2323,Chevrolet,Prisma/Joy Plus,2014,Preto,4.3,3.2,4.95,Normal,132185,10
2324,Volkswagen,Gol,2017,Preto,4.0,4.4,4.68,Pouco Rodado,66323,9
2325,Chevrolet,Prisma/Joy Plus,2019,Prata,4.3,3.2,4.69,Pouco Rodado,48058,7
2326,Toyota,Hilux,2024,Cinza,5.0,4.9,4.73,Pouco Rodado,10046,5
2327,Ford,Ka,2019,Preto,2.8,3.8,5.0,Normal,78453,30
2328,Jeep,Renegade,2020,Branco,2.5,2.4,4.94,Pouco Rodado,42184,28
2329,Hyundai,HB20,2023,Preto,4.5,4.5,4.9,Super Alto,57333,32
2330,Ford,Ka,2019,Verde,2.8,3.8,4.59,Alto,110743,48
2331,Chevrolet,Onix,2025,Branco,4.3,4.2,4.33,Normal,4173,9
2332,Hyundai,HB20,2024,Prata,4.5,4.5,4.7,Pouco Rodado,10462,7
2333,Fiat,Argo,2023,Cinza,3.6,3.4,4.98,Alto,46150,37
2334,Jeep,Compass,2017,Verde,2.5,2.3,4.49,Pouco Rodado,68774,26
2335,Toyota,Corolla,2015,Preto,5.0,5.0,3.67,Alto,196758,38
2336,Fiat,Argo,2024,Preto,3.6,3.4,4.92,Normal,13351,13
2337,Fiat,Strada,2010,Preto,3.6,4.4,4.52,Alto,272369,34
2338,Honda,Civic,2023,Prata,4.8,4.8,4.39,Normal,29727,5
2339,Chevrolet,Onix,2016,Branco,4.3,4.2,4.89,Alto,174292,30
2340,Volkswagen,Fox,2012,Marrom,4.0,4.1,3.84,Pouco Rodado,107929,20
2341,Renault,Kwid,2023,Preto,3.2,2.7,5.0,Pouco Rodado,22829,20
2342,Volkswagen,Fox,2012,Cinza,4.0,4.1,4.66,Normal,166194,6
2343,Fiat,Uno,2012,Branco,3.6,4.3,3.99,Normal,162572,14
2344,Jeep,Compass,2024,Branco,2.5,2.3,4.81,Pouco Rodado,11011,22
2345,Chevrolet,Onix,2018,Branco,4.3,4.2,4.78,Pouco Rodado,56400,7
2346,Toyota,Corolla,2025,Vermelho,5.0,5.0,4.71,Normal,9611,20
2347,Fiat,Strada,2022,Branco,3.6,4.4,4.74,Normal,46686,15
2348,Volkswagen,Polo,2020,Cinza,4.0,2.8,4.98,Super Alto,140790,41
2349,Fiat,Argo,2023,Preto,3.6,3.4,4.83,Normal,35976,26
2350,Renault,Sandero,2014,Preto,3.2,2.6,3.92,Normal,136171,17
2351,Volkswagen,Gol,2020,Prata,4.0,4.4,4.91,Normal,60398,20
2352,Hyundai,Creta,2025,Preto,4.5,3.6,4.74,Alto,12403,42
2353,Renault,Sandero,2018,Branco,3.2,2.6,4.94,Normal,87813,26
2354,Renault,Sandero,2012,Azul,3.2,2.6,4.58,Alto,243424,53
2355,Volkswagen,Polo,2025,Preto,4.0,2.8,4.98,Pouco Rodado,3656,8
2356,Honda,Civic,2024,Marrom,4.8,4.8,4.93,Alto,26999,32
2357,Renault,Duster,2022,Preto,3.2,3.2,4.99,Alto,60808,30
2358,Ford,Ka,2014,Prata,2.8,3.8,4.0,Pouco Rodado,88938,21
2359,Jeep,Renegade,2025,Branco,2.5,2.4,4.69,Pouco Rodado,199,6
2360,Chevrolet,Onix,2016,Branco,4.3,4.2,3.88,Super Alto,234468,46
2361,Volkswagen,T-Cross,2024,Branco,4.0,3.1,4.84,Alto,35873,29
2362,Volkswagen,T-Cross,2024,Preto,4.0,3.1,4.93,Pouco Rodado,11652,14
2363,Volkswagen,Gol,2021,Preto,4.0,4.4,4.97,Normal,53748,20
2364,Toyota,Corolla Cross,2023,Branco,5.0,4.7,4.96,Pouco Rodado,20019,10
2365,Fiat,Mobi,2020,Cinza,3.6,3.5,4.89,Alto,101821,32
2366,Toyota,Corolla,2016,Marrom,5.0,5.0,4.71,Pouco Rodado,77346,16
2367,Toyota,Corolla,2024,Prata,5.0,5.0,4.73,Super Alto,28354,32
2368,Fiat,Mobi,2021,Preto,3.6,3.5,4.45,Pouco Rodado,36942,18
2369,Jeep,Compass,2017,Branco,2.5,2.3,4.15,Pouco Rodado,65093,10
2370,Toyota,Hilux,2014,Vermelho,5.0,4.9,4.59,Pouco Rodado,91479,11
2371,Hyundai,HB20,2020,Branco,4.5,4.5,4.94,Normal,70870,14
2372,Volkswagen,T-Cross,2022,Azul,4.0,3.1,4.83,Super Alto,96383,53
2373,Hyundai,HB20,2019,Branco,4.5,4.5,4.87,Alto,110060,33
2374,Volkswagen,Fox,2020,Branco,4.0,4.1,4.28,Pouco Rodado,40781,14
2375,Hyundai,HB20,2017,Preto,4.5,4.5,4.73,Normal,103393,12
2376,Chevrolet,Tracker,2014,Prata,4.3,3.0,4.59,Pouco Rodado,93197,11
2377,Renault,Sandero,2022,Branco,3.2,2.6,4.98,Pouco Rodado,25807,12
2378,Fiat,Mobi,2017,Prata,3.6,3.5,4.35,Normal,101577,28
2379,Fiat,Strada,2011,Preto,3.6,4.4,4.71,Normal,173955,13
2380,Fiat,Uno,2013,Cinza,3.6,4.3,4.89,Alto,224308,27
2381,Volkswagen,Polo,2025,Preto,4.0,2.8,4.92,Alto,6824,34
2382,Chevrolet,Onix,2022,Preto,4.3,4.2,4.83,Normal,44803,5
2383,Fiat,Uno,2013,Branco,3.6,4.3,4.37,Pouco Rodado,96609,19
2384,Ford,Fiesta,2014,Cinza,2.8,2.0,4.96,Normal,135400,33
2385,Chevrolet,Onix,2018,Branco,4.3,4.2,4.63,Alto,139632,35
2386,Toyota,Corolla,2016,Prata,5.0,5.0,4.02,Pouco Rodado,75640,10
2387,Volkswagen,Gol,2011,Branco,4.0,4.4,4.71,Pouco Rodado,113445,22
2388,Hyundai,Creta,2022,Azul,4.5,3.6,5.0,Pouco Rodado,27578,5
2389,Fiat,Argo,2017,Branco,3.6,3.4,4.88,Alto,149541,41
2390,Hyundai,HB20,2015,Branco,4.5,4.5,4.88,Pouco Rodado,87901,5
2391,Fiat,Argo,2021,Preto,3.6,3.4,4.94,Alto,77848,42
2392,Renault,Duster,2015,Cinza,3.2,3.2,3.37,Alto,183468,34
2393,Fiat,Toro,2021,Branco,3.6,2.9,4.92,Super Alto,108908,44
2394,Fiat,Toro,2019,Branco,3.6,2.9,4.72,Alto,124412,24
2395,Chevrolet,Onix,2025,Vermelho,4.3,4.2,4.95,Pouco Rodado,4475,19
2396,Honda,HR-V,2023,Preto,4.8,3.9,4.56,Normal,25517,17
2397,Renault,Sandero,2017,Branco,3.2,2.6,4.71,Normal,99565,14
2398,Volkswagen,Gol,2015,Prata,4.0,4.4,4.42,Normal,122770,12
2399,Fiat,Uno,2014,Vermelho,3.6,4.3,3.93,Alto,214786,41
2400,Volkswagen,Fox,2018,Branco,4.0,4.1,4.87,Alto,139546,35
2401,Volkswagen,Gol,2019,Branco,4.0,4.4,4.63,Pouco Rodado,54947,8
2402,Chevrolet,Onix,2017,Branco,4.3,4.2,3.85,Super Alto,207200,38
2403,Fiat,Toro,2022,Prata,3.6,2.9,4.9,Alto,63884,36
2404,Renault,Kwid,2017,Preto,3.2,2.7,4.66,Normal,96888,25
2405,Hyundai,HB20,2023,Branco,4.5,4.5,4.79,Alto,52349,37
2406,Volkswagen,Gol,2015,Preto,4.0,4.4,4.41,Pouco Rodado,82025,14
2407,Chevrolet,Prisma/Joy Plus,2020,Branco,4.3,3.2,4.84,Normal,71312,17
2408,Fiat,Strada,2025,Preto,3.6,4.4,4.89,Pouco Rodado,4945,5
2409,Volkswagen,T-Cross,2021,Preto,4.0,3.1,4.95,Normal,57113,11
2410,Chevrolet,Onix,2023,Prata,4.3,4.2,4.73,Alto,50696,23
2411,Toyota,Corolla Cross,2023,Prata,5.0,4.7,4.45,Pouco Rodado,17819,7
2412,Fiat,Mobi,2021,Prata,3.6,3.5,4.92,Pouco Rodado,36094,16
2413,Ford,Fiesta,2019,Branco,2.8,2.0,4.46,Normal,81296,20
2414,Renault,Sandero,2017,Branco,3.2,2.6,4.94,Alto,150527,31
2415,Chevrolet,Onix,2019,Preto,4.3,4.2,4.98,Normal,78633,9
2416,Renault,Sandero,2014,Vermelho,3.2,2.6,4.49,Normal,137815,21
2417,Chevrolet,Onix,2020,Branco,4.3,4.2,4.43,Normal,71084,15
2418,Fiat,Strada,2025,Preto,3.6,4.4,4.66,Alto,7879,33
2419,Fiat,Strada,2019,Cinza,3.6,4.4,4.7,Normal,73334,14
2420,Chevrolet,Onix,2024,Cinza,4.3,4.2,4.94,Normal,23567,7
2421,Renault,Sandero,2014,Cinza,3.2,2.6,4.33,Normal,135292,23
2422,Hyundai,HB20,2021,Azul,4.5,4.5,4.43,Normal,57175,30
2423,Volkswagen,Gol,2021,Cinza,4.0,4.4,4.85,Normal,53976,9
2424,Renault,Kwid,2018,Cinza,3.2,2.7,4.81,Alto,134902,43
2425,Fiat,Strada,2013,Branco,3.6,4.4,4.22,Pouco Rodado,101036,21
2426,Chevrolet,Onix,2013,Branco,4.3,4.2,3.93,Normal,147997,12
2427,Volkswagen,Fox,2020,Cinza,4.0,4.1,4.79,Normal,64064,15
2428,Volkswagen,Gol,2020,Cinza,4.0,4.4,4.82,Pouco Rodado,43465,5
2429,Chevrolet,Onix,2023,Preto,4.3,4.2,4.66,Super Alto,68926,34
2430,Volkswagen,T-Cross,2022,Cinza,4.0,3.1,4.97,Pouco Rodado,30623,9
2431,Volkswagen,Gol,2014,Branco,4.0,4.4,4.39,Alto,199247,31
2432,Hyundai,Creta,2023,Branco,4.5,3.6,4.74,Pouco Rodado,16281,17
2433,Chevrolet,Tracker,2019,Branco,4.3,3.0,4.85,Normal,79705,11
2434,Volkswagen,Gol,2012,Branco,4.0,4.4,4.84,Pouco Rodado,105028,5
2435,Fiat,Toro,2023,Preto,3.6,2.9,4.75,Normal,35560,15
2436,Ford,Ka,2021,Preto,2.8,3.8,4.89,Normal,49564,23
2437,Chevrolet,Onix,2021,Branco,4.3,4.2,4.72,Normal,48993,11
2438,Volkswagen,Gol,2014,Preto,4.0,4.4,4.68,Super Alto,289666,27
2439,Chevrolet,Onix,2025,Branco,4.3,4.2,4.49,Alto,10553,37
2440,Toyota,Corolla,2015,Prata,5.0,5.0,4.09,Pouco Rodado,81842,7
2441,Volkswagen,Saveiro,2025,Preto,4.0,4.0,4.9,Super Alto,17990,45
2442,Volkswagen,Gol,2011,Branco,4.0,4.4,3.92,Normal,174629,16
2443,Hyundai,HB20,2018,Branco,4.5,4.5,4.64,Pouco Rodado,59865,13
2444,Honda,HR-V,2015,Prata,4.8,3.9,3.72,Normal,126163,18
2445,Volkswagen,Gol,2020,Branco,4.0,4.4,4.97,Normal,60304,5
2446,Toyota,Corolla,2017,Prata,5.0,5.0,4.77,Super Alto,202643,40
2447,Chevrolet,Tracker,2018,Preto,4.3,3.0,4.46,Pouco Rodado,58898,13
2448,Ford,Fiesta,2013,Prata,2.8,2.0,3.92,Alto,220929,48
2449,Fiat,Uno,2014,Branco,3.6,4.3,3.41,Alto,207585,42
2450,Hyundai,HB20,2014,Verde,4.5,4.5,4.36,Alto,214274,28
2451,Hyundai,HB20,2013,Preto,4.5,4.5,4.5,Normal,150942,20
2452,Chevrolet,Onix,2015,Azul,4.3,4.2,4.54,Normal,125559,14
2453,Fiat,Strada,2018,Branco,3.6,4.4,4.81,Pouco Rodado,59135,18
2454,Hyundai,HB20,2014,Verde,4.5,4.5,4.32,Normal,142047,19
2455,Fiat,Toro,2023,Vermelho,3.6,2.9,4.74,Normal,32183,21
2456,Jeep,Renegade,2015,Preto,2.5,2.4,4.0,Normal,127500,25
2457,Fiat,Mobi,2021,Cinza,3.6,3.5,4.93,Normal,59793,14
2458,Volkswagen,Fox,2019,Azul,4.0,4.1,4.46,Alto,115690,37
2459,Renault,Sandero,2013,Preto,3.2,2.6,4.53,Normal,145425,25
2460,Chevrolet,Onix,2025,Preto,4.3,4.2,4.93,Pouco Rodado,4371,17
2461,Volkswagen,Gol,2021,Cinza,4.0,4.4,4.86,Alto,88611,35
2462,Chevrolet,Prisma/Joy Plus,2017,Branco,4.3,3.2,4.34,Normal,99828,17
2463,Fiat,Strada,2010,Branco,3.6,4.4,4.87,Pouco Rodado,120358,7
2464,Honda,HR-V,2025,Azul,4.8,3.9,5.0,Normal,484,11
2465,Toyota,Corolla,2016,Prata,5.0,5.0,4.87,Normal,112952,13
2466,Toyota,Corolla,2025,Branco,5.0,5.0,4.97,Alto,12019,26
2467,Fiat,Strada,2018,Prata,3.6,4.4,4.16,Normal,94151,26
2468,Chevrolet,Onix,2018,Preto,4.3,4.2,4.6,Alto,130239,40
2469,Jeep,Compass,2022,Azul,2.5,2.3,4.95,Alto,55002,49
2470,Chevrolet,Onix,2024,Branco,4.3,4.2,4.47,Alto,19967,22
2471,Renault,Sandero,2011,Cinza,3.2,2.6,4.72,Pouco Rodado,113209,20
2472,Hyundai,HB20,2016,Branco,4.5,4.5,4.75,Normal,112053,24
2473,Fiat,Uno,2012,Verde,3.6,4.3,4.73,Pouco Rodado,106587,19
2474,Toyota,Corolla,2025,Preto,5.0,5.0,4.92,Super Alto,6201,49
2475,Toyota,Corolla,2016,Branco,5.0,5.0,4.76,Super Alto,232957,31
2476,Chevrolet,Celta,2011,Vermelho,4.3,4.2,4.83,Normal,173281,22
2477,Fiat,Toro,2024,Preto,3.6,2.9,4.95,Alto,25379,46
2478,Fiat,Argo,2018,Verde,3.6,3.4,4.88,Pouco Rodado,61401,24
2479,Hyundai,HB20,2016,Preto,4.5,4.5,4.37,Alto,171662,18
2480,Fiat,Uno,2014,Preto,3.6,4.3,4.38,Pouco Rodado,92345,17
2481,Chevrolet,Tracker,2019,Branco,4.3,3.0,4.54,Normal,79253,24
2482,Fiat,Argo,2021,Preto,3.6,3.4,4.54,Normal,56725,13
2483,Chevrolet,Tracker,2024,Prata,4.3,3.0,4.45,Pouco Rodado,13566,14
2484,Jeep,Compass,2025,Preto,2.5,2.3,4.73,Normal,4169,16
2485,Chevrolet,Tracker,2014,Branco,4.3,3.0,4.0,Super Alto,297126,47
2486,Chevrolet,Prisma/Joy Plus,2014,Vermelho,4.3,3.2,4.59,Alto,208719,34
2487,Chevrolet,Onix,2025,Prata,4.3,4.2,4.68,Normal,9894,15
2488,Chevrolet,Onix,2025,Branco,4.3,4.2,4.12,Alto,5606,37
2489,Volkswagen,Fox,2021,Cinza,4.0,4.1,5.0,Normal,54849,5
2490,Volkswagen,T-Cross,2022,Branco,4.0,3.1,4.9,Alto,58106,30
2491,Jeep,Renegade,2019,Branco,2.5,2.4,4.7,Pouco Rodado,48326,16
2492,Renault,Kwid,2019,Cinza,3.2,2.7,4.89,Alto,109190,40
2493,Fiat,Uno,2021,Preto,3.6,4.3,4.89,Alto,87318,30
2494,Chevrolet,Prisma/Joy Plus,2013,Vermelho,4.3,3.2,3.29,Pouco Rodado,101791,24
2495,Toyota,Corolla,2024,Branco,5.0,5.0,4.93,Alto,30746,35
2496,Fiat,Uno,2020,Branco,3.6,4.3,4.77,Normal,70183,14
2497,Fiat,Argo,2020,Branco,3.6,3.4,4.64,Normal,61108,22
2498,Jeep,Compass,2016,Branco,2.5,2.3,4.42,Normal,112008,22
2499,Fiat,Argo,2018,Branco,3.6,3.4,4.81,Pouco Rodado,57773,16
2500,Chevrolet,Onix,2014,Branco,4.3,4.2,3.51,Normal,133746,12
2501,Fiat,Strada,2015,Preto,3.6,4.4,3.79,Pouco Rodado,80199,21
2502,Volkswagen,Gol,2011,Cinza,4.0,4.4,4.26,Normal,179545,23
2503,Ford,Ka,2019,Cinza,2.8,3.8,4.3,Alto,110350,41
2504,Jeep,Compass,2019,Cinza,2.5,2.3,4.7,Normal,73016,22
2505,Toyota,Corolla,2020,Prata,5.0,5.0,4.24,Alto,107835,30
2506,Fiat,Strada,2022,Branco,3.6,4.4,4.86,Normal,43256,8
2507,Fiat,Argo,2021,Preto,3.6,3.4,4.74,Normal,52650,9
2508,Volkswagen,Gol,2011,Cinza,4.0,4.4,4.81,Normal,179414,24
2509,Volkswagen,Gol,2016,Preto,4.0,4.4,4.45,Normal,115216,12
2510,Volkswagen,Saveiro,2021,Branco,4.0,4.0,4.87,Pouco Rodado,34897,7
2511,Toyota,Hilux,2024,Preto,5.0,4.9,4.99,Super Alto,27172,32
2512,Hyundai,HB20,2022,Branco,4.5,4.5,4.6,Normal,40869,22
2513,Volkswagen,Saveiro,2011,Cinza,4.0,4.0,4.68,Normal,169370,17
2514,Volkswagen,Gol,2016,Preto,4.0,4.4,3.94,Normal,119718,16
2515,Renault,Kwid,2017,Prata,3.2,2.7,4.8,Normal,97350,22
2516,Jeep,Compass,2017,Branco,2.5,2.3,4.8,Normal,98492,20
2517,Hyundai,HB20,2016,Prata,4.5,4.5,4.88,Normal,108349,13
2518,Toyota,Corolla,2023,Vermelho,5.0,5.0,5.0,Normal,31385,13
2519,Toyota,Corolla,2017,Preto,5.0,5.0,5.0,Pouco Rodado,71449,5
2520,Chevrolet,Onix,2019,Vermelho,4.3,4.2,4.86,Alto,123669,48
2521,Honda,Civic,2023,Prata,4.8,4.8,4.34,Pouco Rodado,21507,5
2522,Hyundai,HB20,2022,Cinza,4.5,4.5,4.97,Pouco Rodado,28730,6
2523,Honda,Civic,2013,Prata,4.8,4.8,4.66,Normal,148288,7
2524,Volkswagen,Saveiro,2012,Branco,4.0,4.0,4.59,Normal,167836,23
2525,Chevrolet,Onix,2023,Branco,4.3,4.2,4.99,Alto,37509,42
2526,Volkswagen,Gol,2020,Cinza,4.0,4.4,4.96,Super Alto,130848,41
2527,Fiat,Strada,2024,Preto,3.6,4.4,4.99,Pouco Rodado,13199,10
2528,Jeep,Compass,2019,Branco,2.5,2.3,4.58,Normal,72632,29
2529,Chevrolet,Prisma/Joy Plus,2020,Branco,4.3,3.2,4.85,Normal,62640,10
2530,Fiat,Strada,2021,Preto,3.6,4.4,4.89,Normal,53981,15
2531,Jeep,Renegade,2020,Branco,2.5,2.4,5.0,Normal,67036,15
2532,Ford,Fiesta,2012,Preto,2.8,2.0,4.17,Normal,167963,20
2533,Fiat,Uno,2021,Prata,3.6,4.3,4.86,Pouco Rodado,39866,17
2534,Hyundai,HB20,2015,Prata,4.5,4.5,3.52,Alto,188430,24
2535,Volkswagen,Fox,2010,Preto,4.0,4.1,3.75,Pouco Rodado,120345,11
2536,Hyundai,HB20,2018,Azul,4.5,4.5,4.24,Normal,87224,24
2537,Toyota,Corolla,2021,Cinza,5.0,5.0,5.0,Pouco Rodado,36918,12
2538,Chevrolet,Tracker,2017,Branco,4.3,3.0,4.61,Normal,97426,18
2539,Volkswagen,T-Cross,2025,Preto,4.0,3.1,4.89,Normal,5688,14
2540,Volkswagen,Nivus,2025,Preto,4.0,3.0,4.97,Normal,5834,21
2541,Volkswagen,Polo,2025,Prata,4.0,2.8,4.89,Normal,1629,14
2542,Chevrolet,Onix,2019,Verde,4.3,4.2,4.62,Normal,83162,20
2543,Hyundai,Creta,2020,Prata,4.5,3.6,4.76,Alto,92266,34
2544,Volkswagen,Polo,2022,Prata,4.0,2.8,4.58,Alto,71317,36
2545,Volkswagen,Polo,2022,Prata,4.0,2.8,5.0,Pouco Rodado,30075,7
2546,Volkswagen,T-Cross,2025,Branco,4.0,3.1,4.79,Alto,12038,33
2547,Jeep,Compass,2022,Branco,2.5,2.3,4.63,Normal,43424,13
2548,Hyundai,HB20,2023,Prata,4.5,4.5,5.0,Pouco Rodado,20118,5
2549,Fiat,Strada,2022,Branco,3.6,4.4,4.92,Pouco Rodado,26013,15
2550,Renault,Duster,2014,Cinza,3.2,3.2,4.85,Normal,139400,23
2551,Toyota,Corolla,2018,Branco,5.0,5.0,4.8,Normal,92487,13
2552,Hyundai,Creta,2018,Cinza,4.5,3.6,4.62,Pouco Rodado,60990,8
2553,Chevrolet,Prisma/Joy Plus,2013,Cinza,4.3,3.2,4.08,Alto,220955,30
2554,Hyundai,HB20,2019,Cinza,4.5,4.5,4.07,Normal,82679,12
2555,Ford,Fiesta,2019,Branco,2.8,2.0,4.95,Normal,72023,25
2556,Fiat,Uno,2021,Cinza,3.6,4.3,4.89,Normal,48896,7
2557,Honda,Civic,2012,Preto,4.8,4.8,4.64,Pouco Rodado,104406,16
2558,Chevrolet,Onix,2023,Branco,4.3,4.2,4.71,Alto,51495,28
2559,Hyundai,HB20,2013,Vermelho,4.5,4.5,3.43,Pouco Rodado,100885,19
2560,Toyota,Corolla Cross,2025,Preto,5.0,4.7,4.97,Normal,7431,11
2561,Volkswagen,T-Cross,2023,Verde,4.0,3.1,4.91,Alto,52389,30
2562,Toyota,Corolla,2024,Cinza,5.0,5.0,4.95,Pouco Rodado,12827,8
2563,Volkswagen,T-Cross,2024,Preto,4.0,3.1,4.78,Normal,22860,10
2564,Chevrolet,Onix,2023,Branco,4.3,4.2,4.88,Pouco Rodado,22226,12
2565,Fiat,Strada,2010,Branco,3.6,4.4,3.18,Normal,180771,17
2566,Honda,HR-V,2017,Prata,4.8,3.9,4.91,Normal,99688,12
2567,Chevrolet,Onix,2015,Prata,4.3,4.2,4.14,Normal,128555,18
2568,Toyota,Corolla,2015,Cinza,5.0,5.0,3.47,Alto,185099,28
2569,Toyota,Corolla,2016,Branco,5.0,5.0,4.34,Alto,168766,35
2570,Hyundai,Creta,2019,Prata,4.5,3.6,4.59,Pouco Rodado,52618,9
2571,Fiat,Toro,2018,Branco,3.6,2.9,4.92,Pouco Rodado,62140,13
2572,Fiat,Uno,2010,Vermelho,3.6,4.3,3.65,Normal,190250,12
2573,Toyota,Corolla,2017,Preto,5.0,5.0,4.56,Alto,147701,26
2574,Fiat,Uno,2016,Prata,3.6,4.3,4.93,Pouco Rodado,76213,15
2575,Toyota,Corolla,2025,Branco,5.0,5.0,4.85,Alto,9333,14
2576,Fiat,Strada,2013,Marrom,3.6,4.4,4.46,Normal,149124,20
2577,Renault,Sandero,2018,Branco,3.2,2.6,4.97,Alto,137586,42
2578,Volkswagen,Saveiro,2020,Cinza,4.0,4.0,4.9,Normal,62234,13
2579,Fiat,Uno,2013,Prata,3.6,4.3,3.4,Super Alto,303137,39
2580,Volkswagen,T-Cross,2023,Prata,4.0,3.1,4.38,Pouco Rodado,17816,19
2581,Jeep,Compass,2025,Branco,2.5,2.3,4.97,Normal,6633,25
2582,Renault,Duster,2017,Preto,3.2,3.2,4.64,Super Alto,202998,40
2583,Renault,Duster,2020,Vermelho,3.2,3.2,4.77,Super Alto,148447,54
2584,Hyundai,HB20,2024,Branco,4.5,4.5,4.98,Pouco Rodado,11061,5
2585,Renault,Sandero,2010,Branco,3.2,2.6,4.2,Normal,183114,26
2586,Chevrolet,Celta,2011,Cinza,4.3,4.2,4.92,Pouco Rodado,114565,5
2587,Volkswagen,Gol,2020,Prata,4.0,4.4,4.94,Alto,92230,38
2588,Hyundai,HB20,2019,Cinza,4.5,4.5,4.37,Pouco Rodado,50383,24
2589,Honda,Civic,2014,Preto,4.8,4.8,4.24,Normal,143754,10
2590,Jeep,Renegade,2016,Vermelho,2.5,2.4,4.82,Normal,111691,18
2591,Toyota,Hilux,2021,Prata,5.0,4.9,4.46,Normal,55145,13
2592,Jeep,Compass,2019,Prata,2.5,2.3,4.44,Normal,75872,28
2593,Hyundai,HB20,2019,Cinza,4.5,4.5,4.86,Pouco Rodado,55606,6
2594,Volkswagen,Saveiro,2023,Prata,4.0,4.0,4.52,Normal,33655,11
2595,Hyundai,HB20,2023,Prata,4.5,4.5,4.98,Pouco Rodado,19677,15
2596,Honda,HR-V,2025,Vermelho,4.8,3.9,4.95,Normal,3898,14
2597,Jeep,Renegade,2022,Prata,2.5,2.4,4.94,Pouco Rodado,30470,24
2598,Volkswagen,Fox,2021,Branco,4.0,4.1,4.89,Pouco Rodado,37135,12
2599,Toyota,Corolla,2018,Prata,5.0,5.0,4.7,Alto,130188,21
2600,Volkswagen,Polo,2022,Preto,4.0,2.8,4.38,Normal,37897,23
